sub_id,trial_num,age_years,age_months,vocabulary_score,condition,target_object,correct
1,1,3,47.04,72.73,FF,balloon,TRUE
1,2,3,47.04,72.73,FF,bowl,TRUE
1,3,3,47.04,72.73,FF,apple,TRUE
1,4,3,47.04,72.73,NF,helm,TRUE
1,5,3,47.04,72.73,NF,beaker,TRUE
1,6,3,47.04,72.73,NF,gourd,TRUE
1,7,3,47.04,72.73,NF,luffa,TRUE
2,1,2,30.36,59.09,FF,cup,TRUE
2,2,2,30.36,59.09,FF,guitar,TRUE
2,3,2,30.36,59.09,FF,apple,TRUE
2,4,2,30.36,59.09,NF,longan,TRUE
2,5,2,30.36,59.09,NF,fig,TRUE
2,6,2,30.36,59.09,NF,bung,FALSE
2,7,2,30.36,59.09,NF,ladle,TRUE
3,1,3,41.64,77.27,FF,cookie,TRUE
3,2,3,41.64,77.27,FF,flower,TRUE
3,3,3,41.64,77.27,FF,guitar,TRUE
3,4,3,41.64,77.27,NF,pipette,TRUE
3,5,3,41.64,77.27,NF,sieve,TRUE
3,6,3,41.64,77.27,NF,tongs,TRUE
3,7,3,41.64,77.27,NF,kettle,TRUE
4,1,3,41.519999999999996,72.73,FF,guitar,TRUE
4,2,3,41.519999999999996,72.73,FF,bowl,TRUE
4,3,3,41.519999999999996,72.73,FF,banana,TRUE
4,4,3,41.519999999999996,72.73,NF,helm,TRUE
4,5,3,41.519999999999996,72.73,NF,fig,TRUE
4,6,3,41.519999999999996,72.73,NF,beaker,TRUE
4,7,3,41.519999999999996,72.73,NF,dulcimer,TRUE
5,1,3,42.36,68.18,FF,guitar,TRUE
5,2,3,42.36,68.18,FF,banana,TRUE
5,3,3,42.36,68.18,FF,flower,TRUE
5,4,3,42.36,68.18,NF,okra,TRUE
5,5,3,42.36,68.18,NF,fig,TRUE
5,6,3,42.36,68.18,NF,funnel,TRUE
5,7,3,42.36,68.18,NF,chestnut,TRUE
6,1,2,32.28,63.64,FF,apple,TRUE
6,2,2,32.28,63.64,FF,spoon,TRUE
6,3,2,32.28,63.64,FF,balloon,FALSE
6,4,2,32.28,63.64,NF,longan,TRUE
6,5,2,32.28,63.64,NF,whisk,TRUE
6,6,2,32.28,63.64,NF,chestnut,FALSE
6,7,2,32.28,63.64,NF,sieve,FALSE
7,1,3,38.04,68.18,FF,apple,TRUE
7,2,3,38.04,68.18,FF,shoe,TRUE
7,3,3,38.04,68.18,FF,guitar,FALSE
7,4,3,38.04,68.18,NF,gourd,FALSE
7,5,3,38.04,68.18,NF,disk,TRUE
7,6,3,38.04,68.18,NF,ginger,TRUE
7,7,3,38.04,68.18,NF,luffa,FALSE
8,1,3,37.8,90.91,FF,balloon,TRUE
8,2,3,37.8,90.91,FF,bowl,TRUE
9,1,3,45.12,68.18,FF,cookie,TRUE
9,2,3,45.12,68.18,FF,balloon,TRUE
9,3,3,45.12,68.18,FF,cup,TRUE
9,4,3,45.12,68.18,NF,funnel,TRUE
9,5,3,45.12,68.18,NF,fig,TRUE
9,6,3,45.12,68.18,NF,tongs,TRUE
9,7,3,45.12,68.18,NF,gourd,TRUE
10,1,3,39.24,86.36,FF,apple,TRUE
10,2,3,39.24,86.36,FF,balloon,TRUE
10,3,3,39.24,86.36,FF,bottle,TRUE
10,4,3,39.24,86.36,NF,ladle,TRUE
10,5,3,39.24,86.36,NF,leek,TRUE
10,6,3,39.24,86.36,NF,luffa,TRUE
10,7,3,39.24,86.36,NF,cam,TRUE
11,1,3,39.72,81.82,FF,spoon,TRUE
11,2,3,39.72,81.82,FF,shoe,TRUE
11,3,3,39.72,81.82,FF,pretzel,TRUE
11,4,3,39.72,81.82,NF,dulcimer,TRUE
12,1,2,30.599999999999998,81.82,FF,cookie,TRUE
12,2,2,30.599999999999998,81.82,FF,bottle,FALSE
12,3,2,30.599999999999998,81.82,FF,flower,TRUE
12,4,2,30.599999999999998,81.82,NF,kettle,TRUE
12,5,2,30.599999999999998,81.82,NF,longan,TRUE
12,6,2,30.599999999999998,81.82,NF,fig,TRUE
12,7,2,30.599999999999998,81.82,NF,tongs,FALSE
13,1,3,36,85.71,FF,cookie,TRUE
13,2,3,36,85.71,FF,shoe,TRUE
13,3,3,36,85.71,FF,balloon,TRUE
13,4,3,36,85.71,NF,beaker,TRUE
13,5,3,36,85.71,NF,dulcimer,TRUE
13,6,3,36,85.71,NF,bung,TRUE
14,1,3,44.28,57.14,FF,bottle,TRUE
14,2,3,44.28,57.14,FF,cookie,FALSE
14,3,3,44.28,57.14,FF,guitar,FALSE
14,4,3,44.28,57.14,NF,radish,FALSE
14,5,3,44.28,57.14,NF,luffa,TRUE
14,6,3,44.28,57.14,NF,disk,TRUE
14,7,3,44.28,57.14,NF,tongs,FALSE
15,1,3,40.08,80.95,FF,banana,TRUE
15,2,3,40.08,80.95,FF,ball,TRUE
15,3,3,40.08,80.95,FF,cup,TRUE
15,4,3,40.08,80.95,NF,dulcimer,FALSE
15,5,3,40.08,80.95,NF,bung,TRUE
15,6,3,40.08,80.95,NF,kettle,TRUE
15,7,3,40.08,80.95,NF,gourd,TRUE
16,1,2,27.36,57.14,FF,cookie,TRUE
16,2,2,27.36,57.14,FF,guitar,TRUE
16,3,2,27.36,57.14,FF,balloon,TRUE
16,4,2,27.36,57.14,NF,cam,TRUE
16,5,2,27.36,57.14,NF,funnel,FALSE
16,6,2,27.36,57.14,NF,ladle,TRUE
16,7,2,27.36,57.14,NF,okra,TRUE
17,1,3,44.88,72.73,FF,bucket,TRUE
17,2,3,44.88,72.73,FF,pretzel,TRUE
17,3,3,44.88,72.73,FF,spoon,TRUE
17,4,3,44.88,72.73,NF,chestnut,TRUE
17,5,3,44.88,72.73,NF,pipette,TRUE
17,6,3,44.88,72.73,NF,tongs,TRUE
17,7,3,44.88,72.73,NF,gourd,TRUE
18,1,3,46.44,86.36,FF,bottle,TRUE
18,2,3,46.44,86.36,FF,cup,TRUE
18,3,3,46.44,86.36,FF,apple,TRUE
18,4,3,46.44,86.36,NF,leek,TRUE
18,5,3,46.44,86.36,NF,gourd,TRUE
18,6,3,46.44,86.36,NF,whisk,TRUE
18,7,3,46.44,86.36,NF,kettle,FALSE
19,1,3,46.08,77.27,FF,banana,TRUE
19,2,3,46.08,77.27,FF,ball,TRUE
19,3,3,46.08,77.27,FF,bottle,FALSE
19,4,3,46.08,77.27,NF,cam,TRUE
19,5,3,46.08,77.27,NF,gourd,FALSE
19,6,3,46.08,77.27,NF,sieve,TRUE
19,7,3,46.08,77.27,NF,helm,FALSE
20,1,3,37.56,63.64,FF,flower,TRUE
20,2,3,37.56,63.64,FF,pretzel,TRUE
20,3,3,37.56,63.64,FF,bowl,TRUE
20,4,3,37.56,63.64,NF,disk,TRUE
20,5,3,37.56,63.64,NF,kettle,TRUE
20,6,3,37.56,63.64,NF,gourd,TRUE
20,7,3,37.56,63.64,NF,funnel,TRUE
21,1,2,34.92,68.18,FF,cookie,TRUE
21,2,2,34.92,68.18,FF,guitar,TRUE
21,3,2,34.92,68.18,FF,balloon,TRUE
21,4,2,34.92,68.18,NF,kumquat,FALSE
21,5,2,34.92,68.18,NF,okra,TRUE
21,6,2,34.92,68.18,NF,tongs,TRUE
21,7,2,34.92,68.18,NF,kettle,FALSE
22,1,2,31.08,81.82,FF,guitar,TRUE
22,2,2,31.08,81.82,FF,pretzel,TRUE
22,3,2,31.08,81.82,FF,bucket,TRUE
22,4,2,31.08,81.82,NF,leek,TRUE
22,5,2,31.08,81.82,NF,radish,TRUE
22,6,2,31.08,81.82,NF,kettle,TRUE
22,7,2,31.08,81.82,NF,fig,TRUE
23,1,2,33.599999999999994,45.45,FF,apple,TRUE
23,2,2,33.599999999999994,45.45,FF,balloon,TRUE
23,3,2,33.599999999999994,45.45,FF,bottle,TRUE
23,4,2,33.599999999999994,45.45,NF,kumquat,FALSE
23,5,2,33.599999999999994,45.45,NF,helm,TRUE
23,6,2,33.599999999999994,45.45,NF,cam,TRUE
23,7,2,33.599999999999994,45.45,NF,longan,TRUE
24,1,2,33.36,59.09,FF,spoon,TRUE
24,2,2,33.36,59.09,FF,shoe,TRUE
24,3,2,33.36,59.09,FF,apple,TRUE
24,4,2,33.36,59.09,NF,longan,FALSE
24,5,2,33.36,59.09,NF,cam,TRUE
24,6,2,33.36,59.09,NF,helm,FALSE
24,7,2,33.36,59.09,NF,luffa,TRUE
25,1,3,44.76,81.82,FF,cookie,TRUE
25,2,3,44.76,81.82,FF,bowl,TRUE
25,3,3,44.76,81.82,FF,flower,TRUE
25,4,3,44.76,81.82,NF,bok-choy,TRUE
25,5,3,44.76,81.82,NF,ginger,TRUE
25,6,3,44.76,81.82,NF,beaker,TRUE
25,7,3,44.76,81.82,NF,tongs,TRUE
26,1,3,42.24,68.18,FF,apple,TRUE
26,2,3,42.24,68.18,FF,flower,TRUE
26,3,3,42.24,68.18,FF,guitar,TRUE
26,4,3,42.24,68.18,NF,bung,TRUE
26,5,3,42.24,68.18,NF,sieve,TRUE
26,6,3,42.24,68.18,NF,chestnut,TRUE
26,7,3,42.24,68.18,NF,funnel,TRUE
27,1,2,27.96,63.64,FF,bowl,FALSE
27,2,2,27.96,63.64,FF,apple,TRUE
27,3,2,27.96,63.64,FF,cup,FALSE
27,4,2,27.96,63.64,NF,radish,TRUE
28,1,2,28.200000000000003,68.18,FF,ball,FALSE
28,2,2,28.200000000000003,68.18,FF,apple,TRUE
28,3,2,28.200000000000003,68.18,FF,bucket,TRUE
28,4,2,28.200000000000003,68.18,NF,longan,FALSE
28,5,2,28.200000000000003,68.18,NF,bung,FALSE
28,6,2,28.200000000000003,68.18,NF,tongs,TRUE
28,7,2,28.200000000000003,68.18,NF,leek,TRUE
29,1,3,47.519999999999996,54.55,FF,banana,TRUE
29,2,3,47.519999999999996,54.55,FF,shoe,TRUE
29,3,3,47.519999999999996,54.55,FF,bottle,FALSE
29,4,3,47.519999999999996,54.55,NF,kettle,TRUE
29,5,3,47.519999999999996,54.55,NF,bok-choy,TRUE
29,6,3,47.519999999999996,54.55,NF,cam,TRUE
29,7,3,47.519999999999996,54.55,NF,funnel,TRUE
30,1,2,24.839999999999996,42.86,FF,balloon,FALSE
30,2,2,24.839999999999996,42.86,FF,pretzel,FALSE
30,3,2,24.839999999999996,42.86,FF,shoe,TRUE
30,4,2,24.839999999999996,42.86,NF,chestnut,TRUE
30,5,2,24.839999999999996,42.86,NF,longan,TRUE
30,6,2,24.839999999999996,42.86,NF,radish,FALSE
30,7,2,24.839999999999996,42.86,NF,kettle,TRUE
31,1,4,56.760000000000005,80.95,FF,spoon,TRUE
31,2,4,56.760000000000005,80.95,FF,pretzel,TRUE
31,3,4,56.760000000000005,80.95,FF,flower,TRUE
31,4,4,56.760000000000005,80.95,NF,ladle,TRUE
31,5,4,56.760000000000005,80.95,NF,fig,TRUE
31,6,4,56.760000000000005,80.95,NF,chestnut,TRUE
31,7,4,56.760000000000005,80.95,NF,bok-choy,TRUE
32,1,2,29.400000000000002,76.19,FF,bottle,TRUE
32,2,2,29.400000000000002,76.19,FF,banana,TRUE
32,3,2,29.400000000000002,76.19,FF,cup,FALSE
32,4,2,29.400000000000002,76.19,NF,helm,TRUE
32,5,2,29.400000000000002,76.19,NF,pipette,TRUE
32,6,2,29.400000000000002,76.19,NF,leek,TRUE
32,7,2,29.400000000000002,76.19,NF,dulcimer,TRUE
33,1,3,36.599999999999994,80.95,FF,flower,TRUE
33,2,3,36.599999999999994,80.95,FF,balloon,TRUE
33,3,3,36.599999999999994,80.95,FF,banana,TRUE
33,4,3,36.599999999999994,80.95,NF,tongs,TRUE
33,5,3,36.599999999999994,80.95,NF,funnel,TRUE
33,6,3,36.599999999999994,80.95,NF,chestnut,TRUE
33,7,3,36.599999999999994,80.95,NF,fig,TRUE
34,1,3,44.76,76.19,FF,guitar,TRUE
34,2,3,44.76,76.19,FF,bowl,TRUE
34,3,3,44.76,76.19,FF,cookie,TRUE
34,4,3,44.76,76.19,NF,funnel,FALSE
34,5,3,44.76,76.19,NF,helm,TRUE
34,6,3,44.76,76.19,NF,kettle,TRUE
34,7,3,44.76,76.19,NF,ladle,TRUE
35,1,3,44.400000000000006,62.79,FF,cup,TRUE
35,2,3,44.400000000000006,62.79,FF,banana,TRUE
35,3,3,44.400000000000006,62.79,FF,ball,TRUE
36,1,2,31.799999999999997,59.09,FF,pretzel,FALSE
36,2,2,31.799999999999997,59.09,FF,cup,FALSE
36,3,2,31.799999999999997,59.09,FF,balloon,TRUE
36,4,2,31.799999999999997,59.09,NF,whisk,TRUE
36,5,2,31.799999999999997,59.09,NF,dulcimer,TRUE
36,6,2,31.799999999999997,59.09,NF,kumquat,TRUE
36,7,2,31.799999999999997,59.09,NF,gourd,TRUE
37,1,3,46.44,86.36,FF,cup,TRUE
37,2,3,46.44,86.36,FF,banana,TRUE
37,3,3,46.44,86.36,FF,flower,TRUE
37,4,3,46.44,86.36,NF,whisk,TRUE
37,5,3,46.44,86.36,NF,chestnut,TRUE
37,6,3,46.44,86.36,NF,fig,TRUE
37,7,3,46.44,86.36,NF,disk,TRUE
38,1,2,32.64,72.73,FF,guitar,TRUE
38,2,2,32.64,72.73,FF,balloon,FALSE
38,3,2,32.64,72.73,FF,cookie,TRUE
38,4,2,32.64,72.73,NF,bung,TRUE
38,5,2,32.64,72.73,NF,kumquat,TRUE
38,6,2,32.64,72.73,NF,gourd,TRUE
38,7,2,32.64,72.73,NF,whisk,TRUE
39,1,2,30,68.18,FF,bucket,TRUE
39,2,2,30,68.18,FF,bowl,TRUE
39,3,2,30,68.18,FF,banana,TRUE
39,4,2,30,68.18,NF,bung,TRUE
39,5,2,30,68.18,NF,kumquat,TRUE
39,6,2,30,68.18,NF,longan,TRUE
39,7,2,30,68.18,NF,beaker,TRUE
40,1,3,40.56,59.09,FF,guitar,FALSE
40,2,3,40.56,59.09,FF,bottle,TRUE
40,3,3,40.56,59.09,FF,pretzel,FALSE
40,4,3,40.56,59.09,NF,gourd,TRUE
41,1,3,39.72,77.27,FF,bucket,TRUE
41,2,3,39.72,77.27,FF,pretzel,TRUE
41,3,3,39.72,77.27,FF,bowl,FALSE
41,4,3,39.72,77.27,NF,luffa,FALSE
41,5,3,39.72,77.27,NF,helm,TRUE
41,6,3,39.72,77.27,NF,disk,TRUE
41,7,3,39.72,77.27,NF,pipette,TRUE
42,1,3,44.519999999999996,66.67,FF,guitar,TRUE
42,2,3,44.519999999999996,66.67,FF,banana,TRUE
42,3,3,44.519999999999996,66.67,FF,shoe,TRUE
42,4,3,44.519999999999996,66.67,NF,fig,TRUE
42,5,3,44.519999999999996,66.67,NF,sieve,TRUE
42,6,3,44.519999999999996,66.67,NF,ladle,TRUE
42,7,3,44.519999999999996,66.67,NF,bok-choy,TRUE
43,1,2,28.56,52.38,FF,bucket,TRUE
43,2,2,28.56,52.38,FF,bowl,FALSE
43,3,2,28.56,52.38,FF,cookie,TRUE
43,4,2,28.56,52.38,NF,beaker,FALSE
43,5,2,28.56,52.38,NF,longan,FALSE
43,6,2,28.56,52.38,NF,cam,TRUE
43,7,2,28.56,52.38,NF,chestnut,FALSE
44,1,3,43.68,76.19,FF,cookie,TRUE
44,2,3,43.68,76.19,FF,shoe,TRUE
44,3,3,43.68,76.19,FF,bottle,TRUE
44,4,3,43.68,76.19,NF,helm,TRUE
44,5,3,43.68,76.19,NF,bung,TRUE
44,6,3,43.68,76.19,NF,bok-choy,TRUE
44,7,3,43.68,76.19,NF,luffa,TRUE
45,1,2,30,71.43,FF,ball,TRUE
45,2,2,30,71.43,FF,guitar,TRUE
45,3,2,30,71.43,FF,apple,TRUE
45,4,2,30,71.43,NF,kettle,TRUE
45,5,2,30,71.43,NF,bok-choy,TRUE
45,6,2,30,71.43,NF,whisk,TRUE
45,7,2,30,71.43,NF,leek,TRUE
46,1,3,40.8,61.9,FF,spoon,TRUE
46,2,3,40.8,61.9,FF,pretzel,TRUE
46,3,3,40.8,61.9,FF,ball,TRUE
46,4,3,40.8,61.9,NF,chestnut,TRUE
46,5,3,40.8,61.9,NF,ginger,TRUE
46,6,3,40.8,61.9,NF,kumquat,TRUE
46,7,3,40.8,61.9,NF,pipette,TRUE
47,1,3,47.76,76.74,FF,flower,TRUE
47,2,3,47.76,76.74,FF,spoon,TRUE
47,3,3,47.76,76.74,FF,pretzel,TRUE
47,4,3,47.76,76.74,NF,whisk,FALSE
47,5,3,47.76,76.74,NF,cam,TRUE
47,6,3,47.76,76.74,NF,tongs,TRUE
47,7,3,47.76,76.74,NF,radish,TRUE
48,1,3,47.88,72.73,FF,cup,TRUE
48,2,3,47.88,72.73,FF,balloon,TRUE
48,3,3,47.88,72.73,FF,banana,TRUE
48,4,3,47.88,72.73,NF,kumquat,TRUE
48,5,3,47.88,72.73,NF,pipette,TRUE
48,6,3,47.88,72.73,NF,tongs,TRUE
48,7,3,47.88,72.73,NF,beaker,TRUE
49,1,2,27,31.82,FF,bowl,TRUE
49,2,2,27,31.82,FF,pretzel,TRUE
49,3,2,27,31.82,FF,bottle,FALSE
49,4,2,27,31.82,NF,radish,FALSE
49,5,2,27,31.82,NF,whisk,TRUE
49,6,2,27,31.82,NF,funnel,FALSE
49,7,2,27,31.82,NF,luffa,FALSE
50,1,3,36.480000000000004,72.73,FF,pretzel,TRUE
50,2,3,36.480000000000004,72.73,FF,shoe,TRUE
50,3,3,36.480000000000004,72.73,FF,bucket,TRUE
50,4,3,36.480000000000004,72.73,NF,ginger,TRUE
50,5,3,36.480000000000004,72.73,NF,dulcimer,TRUE
50,6,3,36.480000000000004,72.73,NF,pipette,TRUE
50,7,3,36.480000000000004,72.73,NF,bung,TRUE
51,1,4,59.28,71.43,FF,spoon,TRUE
51,2,4,59.28,71.43,FF,apple,TRUE
51,3,4,59.28,71.43,FF,bottle,TRUE
51,4,4,59.28,71.43,NF,leek,TRUE
51,5,4,59.28,71.43,NF,longan,TRUE
51,6,4,59.28,71.43,NF,kettle,TRUE
51,7,4,59.28,71.43,NF,radish,TRUE
52,1,3,38.28,71.43,FF,cookie,TRUE
52,2,3,38.28,71.43,FF,ball,TRUE
52,3,3,38.28,71.43,FF,guitar,TRUE
52,4,3,38.28,71.43,NF,fig,TRUE
52,5,3,38.28,71.43,NF,sieve,TRUE
52,6,3,38.28,71.43,NF,kettle,TRUE
52,7,3,38.28,71.43,NF,disk,TRUE
53,1,3,43.32,80.95,FF,balloon,TRUE
53,2,3,43.32,80.95,FF,flower,TRUE
53,3,3,43.32,80.95,FF,pretzel,TRUE
53,4,3,43.32,80.95,NF,helm,TRUE
53,5,3,43.32,80.95,NF,dulcimer,TRUE
53,6,3,43.32,80.95,NF,radish,TRUE
53,7,3,43.32,80.95,NF,ginger,TRUE
54,1,2,29.880000000000003,85.71,FF,apple,TRUE
54,2,2,29.880000000000003,85.71,FF,bottle,TRUE
54,3,2,29.880000000000003,85.71,FF,flower,FALSE
54,4,2,29.880000000000003,85.71,NF,tongs,TRUE
54,5,2,29.880000000000003,85.71,NF,helm,TRUE
54,6,2,29.880000000000003,85.71,NF,longan,TRUE
54,7,2,29.880000000000003,85.71,NF,sieve,TRUE
55,1,2,35.519999999999996,77.27,FF,guitar,TRUE
55,2,2,35.519999999999996,77.27,FF,bucket,TRUE
55,3,2,35.519999999999996,77.27,FF,apple,TRUE
55,4,2,35.519999999999996,77.27,NF,chestnut,TRUE
55,5,2,35.519999999999996,77.27,NF,luffa,TRUE
55,6,2,35.519999999999996,77.27,NF,okra,TRUE
55,7,2,35.519999999999996,77.27,NF,kettle,TRUE
56,1,3,41.64,63.64,FF,apple,TRUE
56,2,3,41.64,63.64,FF,cup,TRUE
56,3,3,41.64,63.64,FF,guitar,TRUE
56,4,3,41.64,63.64,NF,cam,TRUE
56,5,3,41.64,63.64,NF,ginger,TRUE
56,6,3,41.64,63.64,NF,dulcimer,TRUE
56,7,3,41.64,63.64,NF,luffa,TRUE
57,1,3,44.400000000000006,68.18,FF,ball,TRUE
57,2,3,44.400000000000006,68.18,FF,flower,TRUE
57,3,3,44.400000000000006,68.18,FF,cookie,TRUE
57,4,3,44.400000000000006,68.18,NF,helm,TRUE
57,5,3,44.400000000000006,68.18,NF,pipette,FALSE
57,6,3,44.400000000000006,68.18,NF,luffa,TRUE
57,7,3,44.400000000000006,68.18,NF,gourd,FALSE
58,1,3,46.8,77.27,FF,flower,TRUE
58,2,3,46.8,77.27,FF,banana,TRUE
58,3,3,46.8,77.27,FF,spoon,TRUE
58,4,3,46.8,77.27,NF,whisk,TRUE
58,5,3,46.8,77.27,NF,kumquat,TRUE
58,6,3,46.8,77.27,NF,okra,TRUE
58,7,3,46.8,77.27,NF,chestnut,FALSE
59,1,3,37.68,45.45,FF,pretzel,TRUE
59,2,3,37.68,45.45,FF,ball,FALSE
59,3,3,37.68,45.45,FF,balloon,TRUE
59,4,3,37.68,45.45,NF,disk,TRUE
59,5,3,37.68,45.45,NF,helm,TRUE
59,6,3,37.68,45.45,NF,whisk,FALSE
59,7,3,37.68,45.45,NF,luffa,FALSE
60,1,2,35.88,45.45,FF,bucket,TRUE
60,2,2,35.88,45.45,FF,bottle,FALSE
60,3,2,35.88,45.45,FF,apple,TRUE
60,4,2,35.88,45.45,NF,sieve,TRUE
60,5,2,35.88,45.45,NF,helm,TRUE
60,6,2,35.88,45.45,NF,kettle,TRUE
60,7,2,35.88,45.45,NF,chestnut,FALSE
61,1,3,43.32,54.55,FF,bowl,TRUE
61,2,3,43.32,54.55,FF,balloon,FALSE
61,3,3,43.32,54.55,FF,pretzel,TRUE
61,4,3,43.32,54.55,NF,luffa,TRUE
61,5,3,43.32,54.55,NF,tongs,FALSE
61,6,3,43.32,54.55,NF,cam,TRUE
62,1,3,41.04,40.91,FF,guitar,FALSE
62,2,3,41.04,40.91,FF,cup,FALSE
62,3,3,41.04,40.91,FF,banana,TRUE
62,4,3,41.04,40.91,NF,luffa,TRUE
62,5,3,41.04,40.91,NF,pipette,FALSE
62,6,3,41.04,40.91,NF,leek,FALSE
62,7,3,41.04,40.91,NF,dulcimer,FALSE
63,1,3,46.2,81.82,FF,shoe,TRUE
63,2,3,46.2,81.82,FF,cup,TRUE
63,3,3,46.2,81.82,FF,cookie,TRUE
63,4,3,46.2,81.82,NF,whisk,TRUE
63,5,3,46.2,81.82,NF,bok-choy,TRUE
63,6,3,46.2,81.82,NF,tongs,TRUE
63,7,3,46.2,81.82,NF,fig,TRUE
64,1,3,36.24,77.27,FF,guitar,TRUE
64,2,3,36.24,77.27,FF,apple,TRUE
64,3,3,36.24,77.27,FF,shoe,TRUE
64,4,3,36.24,77.27,NF,pipette,TRUE
64,5,3,36.24,77.27,NF,beaker,TRUE
64,6,3,36.24,77.27,NF,bung,TRUE
64,7,3,36.24,77.27,NF,kettle,TRUE
65,1,3,40.08,81.82,FF,balloon,TRUE
65,2,3,40.08,81.82,FF,shoe,TRUE
